"Program","Year","Period","Geo.Level","State","State.ANSI","Market","Measure","Unit","Domain","Chemical","Code","Value","CV...."
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","PYRIMETHANIL",288201,0.711,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","QUINOLINE",55459,0.098,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","SULFUR",77501,3.779,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","TETRACONAZOLE",120603,0.038,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","THIOPHANATE-METHYL",102001,0.707,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","THIRAM",79801,2.144,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","TRIFLOXYSTROBIN",129112,0.124,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","TRIFLUMIZOLE",128879,0.251,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","HERBICIDE","FLUMIOXAZIN",129034,0.084,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","HERBICIDE","OXYFLUORFEN",111601,0.301,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","HERBICIDE","PENDIMETHALIN",108501,1.327,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","ABAMECTIN",122804,0.018,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","ACEQUINOCYL",6329,0.305,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","ACETAMIPRID",99050,0.138,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","AZADIRACHTIN",121701,0.029,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","BIFENAZATE",586,0.505,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","BIFENTHRIN",128825,0.123,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","CHLORANTRANILIPROLE",90100,0.066,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","CYANTRANILIPROLE",90098,0.109,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","CYFLUMETOFEN",138831,0.178,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","FENPROPATHRIN",127901,0.233,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","FENPYROXIMATE",129131,0.106,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","FLONICAMID",128016,0.088,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","FLUPYRADIFURONE",122304,0.18,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","HEXYTHIAZOX",128849,0.218,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","IMIDACLOPRID",129099,0.513,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","MALATHION",57701,2.027,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","METHOXYFENOZIDE",121027,0.169,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","NALED",34401,0.907,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","NEEM OIL",25006,0.779,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","NEEM OIL, CLAR. HYD.",25007,2.222,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","NOVALURON",124002,0.077,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","PYRETHRINS",69001,0.041,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","SPINETORAM",110007,0.076,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","SPINOSAD",110003,0.095,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","SPIROMESIFEN",24875,0.252,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","THIAMETHOXAM",60109,0.065,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","OTHER","CHLOROPICRIN",81501,196.615,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","OTHER","DICHLOROPROPENE",29001,70.726,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","OTHER","FLUTRIAFOL",128940,0.113,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","OTHER","HYDROGEN PEROXIDE",595,2.372,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","OTHER","METAM-POTASSIUM",39002,240.829,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","OTHER","PEROXYACETIC ACID",63201,0.491,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","OTHER","REYNOUTRIA SACHALINE",55809,0.199,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","AZOXYSTROBIN",128810,0.26,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","BORAX DECAHYDRATE",11102,0.021,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","BOSCALID",128008,0.506,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","CAPTAN",81301,14.256,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","CYFLUFENAMID",555550,0.031,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","CYPRODINIL",288202,0.591,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","FENHEXAMID",90209,0.974,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","FLUDIOXONIL",71503,0.394,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","FLUOPYRAM",80302,0.254,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","FLUXAPYROXAD",138009,0.202,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","MEFENOXAM",113502,0.566,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","MYCLOBUTANIL",128857,0.237,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","PENTHIOPYRAD",90112,0.35,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","POLYOXIN D ZINC SALT",230000,0.183,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","POTASSIUM BICARBON.",73508,10.775,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","PROPICONAZOLE",122101,0.14,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","PYRACLOSTROBIN",99100,0.23,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","PYRIMETHANIL",288201,0.989,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","QUINOLINE",55459,0.139,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","SULFUR",77501,17.216,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","TETRACONAZOLE",120603,0.056,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","THIOPHANATE-METHYL",102001,0.815,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","THIRAM",79801,5.029,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","TRIFLOXYSTROBIN",129112,0.249,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","TRIFLUMIZOLE",128879,0.461,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","HERBICIDE","FLUMIOXAZIN",129034,0.099,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","HERBICIDE","OXYFLUORFEN",111601,0.388,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","HERBICIDE","PENDIMETHALIN",108501,1.357,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","ABAMECTIN",122804,0.025,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","ACEQUINOCYL",6329,0.453,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","ACETAMIPRID",99050,0.184,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","AZADIRACHTIN",121701,0.048,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","BIFENAZATE",586,0.872,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","BIFENTHRIN",128825,0.191,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","CHLORANTRANILIPROLE",90100,0.107,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","CYANTRANILIPROLE",90098,0.145,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","CYFLUMETOFEN",138831,0.283,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","FENPROPATHRIN",127901,0.251,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","FENPYROXIMATE",129131,0.121,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","FLONICAMID",128016,0.16,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","FLUPYRADIFURONE",122304,0.245,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","HEXYTHIAZOX",128849,0.253,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","IMIDACLOPRID",129099,0.602,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","MALATHION",57701,2.443,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","METHOXYFENOZIDE",121027,0.219,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","NALED",34401,1.076,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","NEEM OIL",25006,1.159,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","NEEM OIL, CLAR. HYD.",25007,2.57,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","NOVALURON",124002,0.168,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","PYRETHRINS",69001,0.067,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","SPINETORAM",110007,0.117,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","SPINOSAD",110003,0.126,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","SPIROMESIFEN",24875,0.274,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","THIAMETHOXAM",60109,0.088,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","OTHER","CHLOROPICRIN",81501,221.399,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","OTHER","DICHLOROPROPENE",29001,77.467,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","OTHER","FLUTRIAFOL",128940,0.186,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","OTHER","HYDROGEN PEROXIDE",595,4.631,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","OTHER","METAM-POTASSIUM",39002,281.989,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","OTHER","PEROXYACETIC ACID",63201,0.958,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","OTHER","REYNOUTRIA SACHALINE",55809,0.266,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","AZOXYSTROBIN",128810,1.1,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747",16482,1.6,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","BACILLUS SUBTILIS",6479,1.3,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","BORAX DECAHYDRATE",11102,1.3,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","BOSCALID",128008,1.4,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","CAPTAN",81301,8.6,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","CYFLUFENAMID",555550,1.3,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","CYPRODINIL",288202,1.8,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","FENHEXAMID",90209,1.6,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","FLUDIOXONIL",71503,1.8,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","FLUOPYRAM",80302,2,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","FLUXAPYROXAD",138009,1.2,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","MEFENOXAM",113502,1.2,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","MYCLOBUTANIL",128857,2.3,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","PENTHIOPYRAD",90112,1.3,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","POLYOXIN D ZINC SALT",230000,1.9,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","POTASSIUM BICARBON.",73508,5,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","PROPICONAZOLE",122101,1.2,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","PYRACLOSTROBIN",99100,1.3,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","PYRIMETHANIL",288201,1.4,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","QUINOLINE",55459,1.4,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","SULFUR",77501,4.6,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","TETRACONAZOLE",120603,1.5,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","THIOPHANATE-METHYL",102001,1.2,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","THIRAM",79801,2.3,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","TRIFLOXYSTROBIN",129112,2,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","TRIFLUMIZOLE",128879,1.8,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","HERBICIDE","FLUMIOXAZIN",129034,1.2,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","HERBICIDE","OXYFLUORFEN",111601,1.3,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","HERBICIDE","PENDIMETHALIN",108501,1,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","ABAMECTIN",122804,1.4,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","ACEQUINOCYL",6329,1.5,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","ACETAMIPRID",99050,1.3,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","AZADIRACHTIN",121701,1.6,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","BIFENAZATE",586,1.7,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","BIFENTHRIN",128825,1.6,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","BT KURSTAK ABTS-1857",6523,1.5,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","BT KURSTAKI ABTS-351",6522,2,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","BT KURSTAKI SA-11",6519,1.7,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","CHLORANTRANILIPROLE",90100,1.6,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA",16329,1.9,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","CYANTRANILIPROLE",90098,1.3,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","CYFLUMETOFEN",138831,1.6,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","FENPROPATHRIN",127901,1.1,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","FENPYROXIMATE",129131,1.1,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","FLONICAMID",128016,1.8,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","FLUPYRADIFURONE",122304,1.4,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","HEXYTHIAZOX",128849,1.2,""
"SURVEY",2021,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","IMIDACLOPRID",129099,1.2,""
